destination,mood_tags,ideal_group,avg_budget_per_day_inr,best_months,sample_itinerary,type,base_destination,validated_state,state
Sundarbans Summit,"trek, wildlife, solo, snow","friends, solo",2007,Apr - Jul,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Sundarbans,West Bengal,West Bengal
Coorg Base,"hiking, nature, photography","family, couples",2492,Oct - Mar,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Coorg,Karnataka,Karnataka
Velhe Glade,"nature, trek, forest, romantic, wildlife",family,1458,Apr - Jul,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Velhe,Maharashtra,Maharashtra
Nilkanth Valley,"remote, adventure, hiking, friends, trek","solo, couples, family",2940,Oct - Mar,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Nilkanth,Uttarakhand,Uttarakhand
Brahmagiri Falls,"trek, nature, chill, adventure","family, friends",2974,Jun - Sep,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Brahmagiri,Karnataka,Karnataka
Anamudi Meadows,"chill, romantic, wildlife, photography","family, couples, solo",3404,Jul - Oct,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Anamudi,Kerala,Kerala
Kudremukh Trails,"chill, trek, adventure, hiking, wildlife",couples,3020,Feb - Apr,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Kudremukh,Karnataka,Karnataka
Dzukou Lake,"photography, wildlife, adventure, romantic, solo","family, friends",2417,Feb - Apr,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Dzukou,Nagaland,Nagaland
Wayanad Bluff,"forest, chill, hiking, remote","family, couples, solo",2645,Jul - Oct,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Wayanad,Kerala,Kerala
Araku Heights,"forest, romantic, solo, chill","solo, friends, couples",1266,Nov - Feb,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Araku,Andhra Pradesh,Andhra Pradesh
